Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,2271960,3,0,38,"1,89","0,000%","12602,39627","4906,94","1587,61","398,7"
TOTAL,2271960,3,0,38,"1,89","0,000%","12602,39627","4906,94","1587,61","398,7"
